campus,category,class_modality_categories,class_participation_contrib_prcnt,classroom,course_title,credits,eligible_year,exam_contrib_prcnt,instructor,level,main_language,others_contrib_prcnt,papers_contrib_prcnt,school,term_day_period,types_of_lesson,url,year
Waseda,Seminars: Introductory Courses,[On-campus],50,3-712,Fresh-Start Seminar [J] 01,3,1,0,"SHIMIZU, Jun","Beginner, initial or introductory",Japanese,,50,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001010012025110000101011&pLng=en,2025
Waseda,Japan Studies,[On-campus],30,3-501,Japanese Thought [J] 01,2,1,,"ENDO, Masataka","Beginner, initial or introductory",Japanese,,70,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013E001202511000013E011&pLng=en,2025
Waseda,Mathematics: Advanced/Specialized Courses,[On-campus],50,3-502,Advanced Calculus [J] 01,2,3,50,"NOBE, Atsushi","Advanced, practical and specialized",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013T001202511000013T011&pLng=en,2025
Waseda,Seminarｓ: Intermediate Courses,[On-campus],100,3-909演習室,"Intermediate Seminar (Thinking Critically on Science, Technology and Society) [J] 01",2,2,,"OKAMOTO, Kyoko","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S050120251100001S0511&pLng=en,2025
Waseda,Mathematics: Intermediate Courses,[On-campus],50,3-710,Mathematical Analysis (Multivariate Analysis) [J] 01,2,2,50,"NOBE, Atsushi","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013P001202511000013P011&pLng=en,2025
Waseda,Seminarｓ: Intermediate Courses,[On-campus],30,3-608,Intermediate Seminar (US Economy) [J] 01,2,2,,"KATAYAMA, Munechika","Intermediate, developmental and applicative",Japanese,40,30,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Thur', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S140120251100001S1411&pLng=en,2025
Waseda,Mathematics: Intermediate Courses,[On-campus],50,3-502,Mathematical Analysis (Differential Equations) [J] 01,2,2,50,"NOBE, Atsushi","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013Q001202511000013Q011&pLng=en,2025
Waseda,Natural Science,[On-campus] Hybrid (over 50% of classes on-campus),39,3-404,Advanced Science and Technology [J] 01,2,2,61,"OKAMOTO, Kyoko,HANYA, Goro,NISHIMURA, Takeshi,GO, Yasuhiro,KIYONO, Mieko","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013N001202511000013N011&pLng=en,2025
Waseda,Seminarｓ: Intermediate Courses,[On-campus] Hybrid (over 50% of classes on-campus),50,3-712,Intermediate Seminar (Research on cultural exchange between Japan and China) [J] 01,2,2,,"HIRABAYASHI, Norikazu","Intermediate, developmental and applicative",Japanese,,50,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S330120251100001S3311&pLng=en,2025
Waseda,Humanities,[On-campus],20,3-602,Theories of Art [J] 01,2,1,80,"KONUMA, Junichi","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013H001202511000013H011&pLng=en,2025
